name	x	y	z	coordinate_system
E001	44.0	0.0	n/a	grid1
E002	40.0	0.0	n/a	grid1
E003	36.0	0.0	n/a	grid1
E004	32.0	0.0	n/a	grid1
E005	28.0	0.0	n/a	grid1
E006	24.0	0.0	n/a	grid1
E007	20.0	0.0	n/a	grid1
E008	16.0	0.0	n/a	grid1
E009	12.0	0.0	n/a	grid1
E010	8.0	0.0	n/a	grid1
E011	4.0	0.0	n/a	grid1
E012	0.0	0.0	n/a	grid1
E013	0.0	4.0	n/a	grid1
E014	4.0	4.0	n/a	grid1
E015	8.0	4.0	n/a	grid1
E016	12.0	4.0	n/a	grid1
E017	16.0	4.0	n/a	grid1
E018	20.0	4.0	n/a	grid1
E019	24.0	4.0	n/a	grid1
E020	28.0	4.0	n/a	grid1
E021	32.0	4.0	n/a	grid1
E022	36.0	4.0	n/a	grid1
E023	40.0	4.0	n/a	grid1
E024	44.0	4.0	n/a	grid1
E025	48.0	4.0	n/a	grid1
E026	48.0	8.0	n/a	grid1
E027	44.0	8.0	n/a	grid1
E028	40.0	8.0	n/a	grid1
E029	36.0	8.0	n/a	grid1
E030	32.0	8.0	n/a	grid1
E031	28.0	8.0	n/a	grid1
E032	24.0	8.0	n/a	grid1
E033	20.0	8.0	n/a	grid1
E034	16.0	8.0	n/a	grid1
E035	12.0	8.0	n/a	grid1
E036	8.0	8.0	n/a	grid1
E037	4.0	8.0	n/a	grid1
E038	0.0	8.0	n/a	grid1
E039	0.0	12.0	n/a	grid1
E040	4.0	12.0	n/a	grid1
E041	8.0	12.0	n/a	grid1
E042	12.0	12.0	n/a	grid1
E043	16.0	12.0	n/a	grid1
E044	20.0	12.0	n/a	grid1
E045	24.0	12.0	n/a	grid1
E046	28.0	12.0	n/a	grid1
E047	32.0	12.0	n/a	grid1
E048	36.0	12.0	n/a	grid1
E049	40.0	12.0	n/a	grid1
E050	44.0	12.0	n/a	grid1
E051	48.0	12.0	n/a	grid1
E052	48.0	16.0	n/a	grid1
E053	44.0	16.0	n/a	grid1
E054	40.0	16.0	n/a	grid1
E055	36.0	16.0	n/a	grid1
E056	32.0	16.0	n/a	grid1
E057	28.0	16.0	n/a	grid1
E058	24.0	16.0	n/a	grid1
E059	20.0	16.0	n/a	grid1
E060	16.0	16.0	n/a	grid1
E061	12.0	16.0	n/a	grid1
E062	8.0	16.0	n/a	grid1
E063	4.0	16.0	n/a	grid1
E064	0.0	16.0	n/a	grid1
E065	44.0	0.0	n/a	grid2
E066	40.0	0.0	n/a	grid2
E067	36.0	0.0	n/a	grid2
E068	32.0	0.0	n/a	grid2
E069	28.0	0.0	n/a	grid2
E070	24.0	0.0	n/a	grid2
E071	20.0	0.0	n/a	grid2
E072	16.0	0.0	n/a	grid2
E073	12.0	0.0	n/a	grid2
E074	8.0	0.0	n/a	grid2
E075	4.0	0.0	n/a	grid2
E076	0.0	0.0	n/a	grid2
E077	0.0	4.0	n/a	grid2
E078	4.0	4.0	n/a	grid2
E079	8.0	4.0	n/a	grid2
E080	12.0	4.0	n/a	grid2
E081	16.0	4.0	n/a	grid2
E082	20.0	4.0	n/a	grid2
E083	24.0	4.0	n/a	grid2
E084	28.0	4.0	n/a	grid2
E085	32.0	4.0	n/a	grid2
E086	36.0	4.0	n/a	grid2
E087	40.0	4.0	n/a	grid2
E088	44.0	4.0	n/a	grid2
E089	48.0	4.0	n/a	grid2
E090	48.0	8.0	n/a	grid2
E091	44.0	8.0	n/a	grid2
E092	40.0	8.0	n/a	grid2
E093	36.0	8.0	n/a	grid2
E094	32.0	8.0	n/a	grid2
E095	28.0	8.0	n/a	grid2
E096	24.0	8.0	n/a	grid2
E097	20.0	8.0	n/a	grid2
E098	16.0	8.0	n/a	grid2
E099	12.0	8.0	n/a	grid2
E100	8.0	8.0	n/a	grid2
E101	4.0	8.0	n/a	grid2
E102	0.0	8.0	n/a	grid2
E103	0.0	12.0	n/a	grid2
E104	4.0	12.0	n/a	grid2
E105	8.0	12.0	n/a	grid2
E106	12.0	12.0	n/a	grid2
E107	16.0	12.0	n/a	grid2
E108	20.0	12.0	n/a	grid2
E109	24.0	12.0	n/a	grid2
E110	28.0	12.0	n/a	grid2
E111	32.0	12.0	n/a	grid2
E112	36.0	12.0	n/a	grid2
E113	40.0	12.0	n/a	grid2
E114	44.0	12.0	n/a	grid2
E115	48.0	12.0	n/a	grid2
E116	48.0	16.0	n/a	grid2
E117	44.0	16.0	n/a	grid2
E118	40.0	16.0	n/a	grid2
E119	36.0	16.0	n/a	grid2
E120	32.0	16.0	n/a	grid2
E121	28.0	16.0	n/a	grid2
E122	24.0	16.0	n/a	grid2
E123	20.0	16.0	n/a	grid2
E124	16.0	16.0	n/a	grid2
E125	12.0	16.0	n/a	grid2
E126	8.0	16.0	n/a	grid2
E127	4.0	16.0	n/a	grid2
E128	0.0	16.0	n/a	grid2
R1	n/a	n/a	n/a	lowerLeg
R2	n/a	n/a	n/a	lowerLeg
